X,Y,BUILDINGS,USE,MATERIAL,NR_FLOORS,TYPE,VALUE_MIN,VALUE_MAX,PEOPLE_MIN,PEOPLE_MAX,COMMUNE,ADMIN_UNIT,Area,Use_Type,XCOORD,YCOORD,station,x,y
387299.033587122,5151942.00066268,_255,House,Masonary_wood,2,MA_2,177916,220102,7.33,7,Tarvisio,TarvisioB2,92,1,387299.033587,5151942.000663,Sem27,13.5309158565566,46.5116118466279
387265.949254395,5151946.33802442,_256,House,Masonary,4,MA_3,1302384,1611197,7.33,7,Tarvisio,TarvisioB2,336,1,387265.949254,5151946.338024,Sem27,13.5304836868498,46.5116453290408
386914.771875958,5151658.22654357,_257,Apartment_building,Concrete,4,RC_4,2322206,2872833,123.58,124,Tarvisio,TarvisioB2,599,1,386914.771876,5151658.226544,SIHb,13.5259776319,46.5089944241215
386570.92180827,5151580.80688112,_258,House,Masonary,2,MA_2,394966,488617,7.33,7,Tarvisio,TarvisioB2,204,1,386570.921808,5151580.806881,SIHb,13.5215160856857,46.5082400775911
386627.808532982,5151851.28868231,_259,House,Masonary_wood,2,MA_2,177521,219614,7.33,7,Tarvisio,TarvisioB2,92,1,386627.808533,5151851.288682,SIHb,13.522191356922,46.5106830587838
386623.665001498,5151863.95473409,_260,House,Masonary_wood,3,MA_3,264752,327528,7.33,7,Tarvisio,TarvisioB2,91,1,386623.665001,5151863.954734,SIHb,13.5221342749457,46.5107963116849
386675.686795644,5151706.83821574,_261,House,Masonary_wood,2,MA_2,355859,440238,7.33,7,Tarvisio,TarvisioB2,183,1,386675.686796,5151706.838216,SIHb,13.5228504537669,46.5093915643406
386647.927786905,5151685.53934508,_262,House,Masonary_wood,3,MA_3,430139,532131,7.33,7,Tarvisio,TarvisioB2,148,1,386647.927787,5151685.539345,SIHb,13.5224939389574,46.5091952755158
386657.746228126,5151671.67504058,_263,House,Masonary_wood,3,MA_3,494425,611659,7.33,7,Tarvisio,TarvisioB2,170,1,386657.746228,5151671.675041,SIHb,13.5226252558996,46.5090721975456
386646.344372662,5151647.56710741,_264,House,Masonary,2,MA_2,373467,462021,7.33,7,Tarvisio,TarvisioB2,193,1,386646.344373,5151647.567107,SIHb,13.5224825654367,46.5088533900823
386656.102732263,5151652.79433322,_265,House,Masonary,2,MA_2,199869,247261,7.33,7,Tarvisio,TarvisioB2,103,1,386656.102732,5151652.794333,SIHb,13.5226084440562,46.5089020597798
386684.969383038,5151676.05692141,_266,House,Masonary_wood,2,MA_2,678719,839652,7.33,7,Tarvisio,TarvisioB2,350,1,386684.969383,5151676.056921,SIHb,13.5229789115717,46.5091162013162
386680.665362726,5151653.05308064,_267,House,Masonary,2,MA_2,495656,613183,7.33,7,Tarvisio,TarvisioB2,255,1,386680.665363,5151653.053081,SIHb,13.5229284365074,46.5089085218938
386707.144258945,5151656.45842711,_268,House,Masonary,2,MA_2,61603,76209,7.33,7,Tarvisio,TarvisioB2,32,1,386707.144259,5151656.458427,SIHb,13.5232726315276,46.5089436140577
386698.87730644,5151634.89570256,_269,House,Masonary,2,MA_2,635755,786501,7.33,7,Tarvisio,TarvisioB2,328,1,386698.877306,5151634.895703,SIHb,13.5231701666823,46.5087482329855
386664.916468747,5151623.42946061,_270,House,Masonary,2,MA_2,325065,402142,7.33,7,Tarvisio,TarvisioB2,168,1,386664.916469,5151623.429461,SIHb,13.5227304473917,46.5086393610014
386722.520556172,5151611.58135327,_271,House,Masonary,2,MA_2,454543,562321,7.33,7,Tarvisio,TarvisioB2,234,1,386722.520556,5151611.581353,SIHb,13.5234839225077,46.5085424623503
386751.788900136,5151614.7543141,_272,House,Masonary,3,MA_3,677888,838624,7.33,7,Tarvisio,TarvisioB2,233,1,386751.7889,5151614.754314,SIHb,13.5238645190409,46.5085759313214
386700.374168273,5151617.73127262,_273,House,Masonary_wood,2,MA_2,196831,243503,7.33,7,Tarvisio,TarvisioB2,101,1,386700.374168,5151617.731273,SIHb,13.5231938541366,46.5085940642703
386750.013640471,5151640.09209055,_274,House,Masonary,2,MA_2,149513,184965,7.33,7,Tarvisio,TarvisioB2,77,1,386750.01364,5151640.092091,SIHb,13.523835214868,46.5088035852886
386773.396287613,5151624.27226691,_276,House,Masonary,3,MA_3,123930,153316,7.33,7,Tarvisio,TarvisioB2,43,1,386773.396288,5151624.272267,SIHb,13.5241437475753,46.5086651938626
386774.636427446,5151617.11791542,_277,House,Masonary,3,MA_3,359601,444867,7.33,7,Tarvisio,TarvisioB2,124,1,386774.636427,5151617.117915,SIHb,13.5241616491829,46.5086010379134
387055.340730996,5151811.42123536,_278,House,Masonary,3,MA_3,558664,691131,7.33,7,Tarvisio,TarvisioB2,192,1,387055.340731,5151811.421235,SIHb,13.5277720563092,46.5103962437877
387067.78907985,5151807.1389186,_279,House,Masonary,3,MA_3,175796,217480,7.33,7,Tarvisio,TarvisioB2,60,1,387067.78908,5151807.138919,SIHb,13.5279353057092,46.5103598057559
386790.364191982,5151629.09094365,_280,House,Masonary,2,MA_2,108902,134725,7.33,7,Tarvisio,TarvisioB2,56,1,386790.364192,5151629.090944,SIHb,13.5243636681938,46.5087113984175
386812.62573175,5151626.31196618,_281,House,Masonary_wood,2,MA_2,493743,610816,7.33,7,Tarvisio,TarvisioB2,255,1,386812.625732,5151626.311966,SIHb,13.5246544158882,46.5086901397384
386836.9809416,5151630.4062254,_282,House,Masonary_wood,2,MA_2,276142,341618,7.33,7,Tarvisio,TarvisioB2,142,1,386836.980942,5151630.406225,SIHb,13.5249707711293,46.5087310676354
386860.021027444,5151631.85532557,_283,Apartment_building,Masonary,3,MA_3,958826,1186176,51.03,51,Tarvisio,TarvisioB2,329,1,386860.021027,5151631.855326,SIHb,13.5252706343151,46.5087479763744
387242.123287215,5151917.79152332,_284,House,Masonary_wood,2,MA_2,353635,437486,7.33,7,Tarvisio,TarvisioB2,182,1,387242.123287,5151917.791523,Sem27,13.5301801383651,46.5113845184994
387226.855450056,5151998.93832284,_285,House,Masonary_wood,3,MA_3,671584,830825,7.33,7,Tarvisio,TarvisioB2,231,1,387226.85545,5151998.938323,Sem27,13.5299614984479,46.5121120040738
387199.694013486,5151971.51294455,_287,House,Masonary_wood,2,MA_2,95507,118152,7.33,7,Tarvisio,TarvisioB2,49,1,387199.694013,5151971.512945,Sem27,13.5296142136209,46.5118607195948
386956.398776974,5151910.9092491,_288,Garage,Concrete_wood,1,RC_1,38590,58507,0,0,Tarvisio,TarvisioB2,124,1,386956.398777,5151910.909249,SIHb,13.526458593039,46.5112746885409
386977.570641409,5151920.96299105,_289,House,Masonary_wood,2,MA_2,563027,696528,7.33,7,Tarvisio,TarvisioB2,290,1,386977.570641,5151920.962991,SIHb,13.5267320341948,46.5113686920611
386968.514927766,5152003.73931751,_290,House,Masonary,2,MA_2,562794,696240,7.33,7,Tarvisio,TarvisioB2,290,1,386968.514928,5152003.739318,SIHb,13.5265939021983,46.5121118736128
386954.109154736,5152016.56044547,_291,House,Masonary_wood,2,MA_2,115775,143227,7.33,7,Tarvisio,TarvisioB2,60,1,386954.109155,5152016.560445,SIHb,13.5264030628109,46.512224800851
386752.643980128,5152100.38508091,_292,House,Masonary_wood,2,MA_2,105593,130631,7.33,7,Tarvisio,TarvisioB2,54,1,386752.64398,5152100.385081,SIHb,13.5237573497302,46.5129450744598
386744.552753764,5151563.00407502,_293,House,Masonary_wood,4,MA_3,1062961,1315003,7.33,7,Tarvisio,TarvisioB2,274,1,386744.552754,5151563.004075,SIHb,13.5237828381291,46.5081091406632
